Time,Used caliper-overlay_ca-org1,Used caliper-overlay_ca-org2,Used caliper-overlay_ca-org3,Used caliper-overlay_ca-org4,Used caliper-overlay_ca-org5,Used caliper-overlay_orderer2_digiblocks_com,Used caliper-overlay_orderer3_digiblocks_com,Used caliper-overlay_orderer4_digiblocks_com,Used caliper-overlay_orderer5_digiblocks_com,Used caliper-overlay_orderer_digiblocks_com,Used caliper-overlay_peer0_org1_digiblocks_com,Used caliper-overlay_peer0_org2_digiblocks_com,Used caliper-overlay_peer0_org3_digiblocks_com,Used caliper-overlay_peer0_org4_digiblocks_com,Used caliper-overlay_peer0_org5_digiblocks_com,Used mon_alertmanager,Used mon_caddy,Used mon_cadvisor,Used mon_dockerd-exporter,Used mon_grafana,Used mon_node-exporter,Used mon_prometheus,Used mon_unsee,Cached caliper-overlay_ca-org1,Cached caliper-overlay_ca-org2,Cached caliper-overlay_ca-org3,Cached caliper-overlay_ca-org4,Cached caliper-overlay_ca-org5,Cached caliper-overlay_orderer2_digiblocks_com,Cached caliper-overlay_orderer3_digiblocks_com,Cached caliper-overlay_orderer4_digiblocks_com,Cached caliper-overlay_orderer5_digiblocks_com,Cached caliper-overlay_orderer_digiblocks_com,Cached caliper-overlay_peer0_org1_digiblocks_com,Cached caliper-overlay_peer0_org2_digiblocks_com,Cached caliper-overlay_peer0_org3_digiblocks_com,Cached caliper-overlay_peer0_org4_digiblocks_com,Cached caliper-overlay_peer0_org5_digiblocks_com,Cached mon_alertmanager,Cached mon_caddy,Cached mon_cadvisor,Cached mon_dockerd-exporter,Cached mon_grafana,Cached mon_node-exporter,Cached mon_prometheus,Cached mon_unsee,Orderer__Average,Peer_Average,CA_Average
2021-04-19T22:44:00+01:00,8,843,264,9,138,176,8,798,208,9,121,792,9,68,544,27,291,648,26,849,280,16,68,608,15,933,440,23,445,504,166,162,432,115,195,904,102,27,264,105,70,592,95,924,224,6,239.8,306.8,252.4
2021-04-19T22:44:30+01:00,8,843,264,9,138,176,8,798,208,9,121,792,9,68,544,27,291,648,26,849,280,16,68,608,15,933,440,23,445,504,166,174,720,115,195,904,102,35,456,105,74,688,95,801,344,6,239.8,306.8,252.4
2021-04-19T22:45:00+01:00,8,843,264,9,138,176,8,798,208,9,121,792,9,68,544,27,295,744,26,853,376,16,68,608,15,933,440,23,445,504,166,182,912,115,204,96,102,39,552,105,86,976,95,801,344,6,239.8,306.8,252.4
2021-04-19T22:45:30+01:00,8,843,264,9,138,176,8,798,208,9,121,792,9,68,544,27,295,744,26,894,336,16,68,608,15,933,440,23,445,504,166,187,8,115,208,192,102,47,744,105,95,168,95,813,632,6,239.8,306.8,252.4
2021-04-19T22:46:00+01:00,8,843,264,9,138,176,8,798,208,9,121,792,9,68,544,27,295,744,26,931,200,16,68,608,15,933,440,23,445,504,166,195,200,115,208,192,102,47,744,105,99,264,95,821,824,6,239.8,306.8,252.4
2021-04-19T22:46:30+01:00,8,843,264,9,138,176,8,798,208,9,121,792,9,68,544,27,316,224,26,939,392,16,101,376,15,970,304,23,445,504,166,195,200,115,216,384,102,51,840,105,99,264,95,825,920,6,239.8,306.8,252.4
2021-04-19T22:47:00+01:00,8,843,264,9,138,176,8,798,208,9,121,792,9,68,544,27,316,224,26,939,392,16,101,376,15,970,304,23,449,600,166,199,296,115,220,480,102,60,32,105,115,648,95,825,920,6,239.8,306.8,252.4
2021-04-19T22:47:30+01:00,8,843,264,9,179,136,8,798,208,9,121,792,9,68,544,27,316,224,26,943,488,16,498,688,15,970,304,23,449,600,166,199,296,115,232,768,102,64,128,105,574,400,95,834,112,6,231.8,306.8,260.6
2021-04-19T22:48:00+01:00,9,158,656,9,371,648,9,117,696,9,318,400,9,224,192,83,419,136,79,310,848,18,313,216,17,784,832,80,179,200,181,940,224,159,653,888,144,302,80,155,471,872,148,500,480,6,295.8,228.6,240.6
2021-04-19T22:48:30+01:00,9,158,656,9,371,648,9,117,696,9,318,400,9,224,192,128,835,584,127,201,280,24,76,288,23,359,488,120,139,776,189,841,408,185,85,952,169,41,920,178,683,904,166,47,744,6,295.8,228.6,240.6
2021-04-19T22:49:00+01:00,9,158,656,9,371,648,9,117,696,9,318,400,9,224,192,138,559,488,136,925,184,26,374,144,24,915,968,138,346,496,198,508,544,197,173,248,181,35,8,189,575,168,184,926,208,6,295.8,228.6,240.6
2021-04-19T22:49:30+01:00,9,248,768,9,502,720,9,195,520,9,531,392,9,224,192,148,234,240,146,796,544,30,150,656,29,282,304,143,36,416,204,578,816,204,648,448,188,919,808,195,55,616,188,534,784,6,290.6,269.6,307.2
2021-04-19T22:50:00+01:00,9,248,768,9,502,720,9,195,520,9,531,392,9,478,144,166,850,560,164,712,448,32,67,584,30,187,520,158,35,968,211,435,520,213,504,0,197,459,968,206,16,512,198,365,184,10,290.6,310.8,307.2
2021-04-19T22:50:30+01:00,9,248,768,9,502,720,9,195,520,9,531,392,9,478,144,177,594,368,175,779,840,35,373,56,31,797,248,177,340,416,222,752,768,220,684,288,205,668,352,216,416,256,209,63,936,10,290.6,310.8,307.2
2021-04-19T22:51:00+01:00,9,248,768,9,502,720,9,195,520,9,531,392,9,478,144,209,989,632,206,249,984,38,416,384,38,178,816,207,867,904,239,112,192,239,22,80,224,870,400,228,298,752,228,12,32,10,290.6,310.8,307.2
2021-04-19T22:51:30+01:00,9,302,16,9,588,736,9,293,824,9,568,256,9,564,160,229,494,784,226,222,80,50,380,800,49,213,440,217,718,784,254,910,464,260,853,760,247,590,912,248,426,496,242,974,720,10,374.2,311.4,184.8
2021-04-19T22:52:00+01:00,9,302,16,9,588,736,9,293,824,9,568,256,9,564,160,258,424,832,248,111,104,52,113,408,50,278,400,255,205,376,277,708,800,276,41,728,262,70,272,277,209,88,265,363,456,10,374.2,311.4,184.8
2021-04-19T22:52:30+01:00,9,302,16,9,588,736,9,293,824,9,568,256,9,564,160,285,302,784,274,419,712,55,603,200,54,345,728,276,627,456,307,597,312,302,379,8,287,653,888,294,666,240,292,155,392,10,374.2,311.4,184.8
2021-04-19T22:53:00+01:00,9,302,16,9,613,312,9,314,304,9,576,448,9,564,160,319,963,136,306,356,224,57,671,680,57,352,192,320,815,104,326,950,912,325,906,432,312,270,848,320,819,200,313,696,256,10,189.6,351.4,189.8
2021-04-19T22:53:30+01:00,9,310,208,9,613,312,9,314,304,9,576,448,9,637,888,339,83,264,322,166,784,66,23,424,63,987,712,330,563,584,350,724,96,342,921,216,336,175,104,344,326,144,331,218,944,10,189.6,511.6,229.8
2021-04-19T22:54:00+01:00,9,310,208,9,613,312,9,314,304,9,576,448,9,637,888,365,289,472,345,894,912,71,643,136,68,980,736,359,190,528,371,355,648,365,84,672,351,199,232,360,816,640,355,364,864,10,189.6,511.6,229.8
2021-04-19T22:54:30+01:00,9,314,304,9,613,312,9,347,72,9,576,448,9,637,888,381,853,696,365,973,504,74,338,304,72,306,688,384,122,880,381,14,16,376,459,264,363,114,496,368,914,432,367,562,752,10,149.8,511.6,249.8
2021-04-19T22:55:00+01:00,9,355,264,9,637,888,9,347,72,9,605,120,9,711,616,400,998,400,394,739,712,80,97,280,76,87,296,403,410,944,391,790,592,389,840,896,373,866,496,374,996,992,378,245,120,10,265,412.2,254.8
2021-04-19T22:55:30+01:00,9,355,264,9,637,888,9,347,72,9,605,120,9,711,616,356,265,984,350,101,504,84,877,312,85,422,80,358,731,776,410,861,568,402,698,240,384,200,704,386,195,456,387,547,136,10,265,412.2,254.8
2021-04-19T22:56:00+01:00,9,355,264,9,637,888,9,347,72,9,605,120,9,711,616,378,40,320,371,896,320,89,96,192,88,100,864,374,206,464,421,498,880,422,969,344,407,56,384,412,45,312,403,333,120,10,265,412.2,254.8
2021-04-19T22:56:30+01:00,9,359,360,9,637,888,9,347,72,9,605,120,9,711,616,378,48,512,371,904,512,91,766,784,90,533,888,379,936,768,435,732,480,422,985,728,407,330,816,412,49,408,406,880,256,10,265,412.2,274.8
2021-04-19T22:57:00+01:00,9,359,360,9,637,888,9,347,72,9,605,120,9,711,616,378,48,512,371,904,512,91,766,784,90,533,888,379,936,768,435,740,672,422,989,824,407,220,224,412,102,656,406,880,256,10,265,412.2,274.8
2021-04-19T22:57:30+01:00,9,359,360,9,637,888,9,347,72,9,605,120,9,711,616,378,48,512,371,904,512,91,766,784,90,533,888,379,936,768,435,974,144,422,993,920,407,220,224,412,106,752,407,15,424,10,265,412.2,274.8
2021-04-19T22:58:00+01:00,9,359,360,9,637,888,9,347,72,9,605,120,9,711,616,378,52,608,371,904,512,91,836,416,90,574,848,380,67,840,435,986,432,423,2,112,407,289,856,412,110,848,406,900,736,10,265,412.2,274.8
2021-04-19T22:58:30+01:00,9,359,360,9,637,888,9,347,72,9,605,120,9,711,616,378,52,608,371,904,512,91,836,416,90,574,848,379,940,864,435,994,624,423,247,872,407,560,192,412,127,232,407,134,208,10,265,412.2,274.8
2021-04-19T22:59:00+01:00,9,359,360,9,637,888,9,347,72,9,605,120,9,711,616,378,52,608,371,904,512,91,836,416,90,574,848,379,940,864,436,228,96,423,260,160,407,568,384,412,311,552,407,138,304,10,265,412.2,274.8
2021-04-19T22:59:30+01:00,9,359,360,9,637,888,9,347,72,9,605,120,9,711,616,378,52,608,371,904,512,91,836,416,90,574,848,379,940,864,436,330,496,423,272,448,407,584,768,412,442,624,407,146,496,9,265,412.2,274.8
